PLAYER_NAME,TEAM_ABBREVIATION,AGE,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT
AJ Hammons,DAL,24.0,0.2,0.4,0.556,0.0,0.2,0.0,0.0,0.3,0.0,0.3,0.4,0.714,0.2,0.8,0.267,0.2,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Brooks,IND,32.0,0.5,1.2,0.427,0.2,0.4,0.393,0.2,0.5,0.483,0.2,0.6,0.417,0.3,0.7,0.39,0.5,1.2,0.395,0.0,0.1,0.0,0.2,0.2,1.0,0.0,0.2,0.0
Aaron Gordon,ORL,21.0,2.8,4.2,0.669,0.2,0.8,0.274,0.3,0.8,0.433,0.6,1.6,0.355,0.6,1.9,0.299,0.5,1.6,0.292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Harrison,CHA,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
Adreian Payne,MIN,26.0,0.7,1.3,0.522,0.0,0.1,0.0,0.2,0.2,1.0,0.2,0.5,0.375,0.2,0.7,0.333,0.1,0.4,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Horford,BOS,31.0,2.1,3.1,0.67,0.9,2.0,0.456,0.5,1.2,0.402,0.7,1.5,0.452,0.8,2.2,0.355,0.6,1.7,0.357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Jefferson,IND,32.0,1.8,2.8,0.638,1.0,2.0,0.496,0.5,1.3,0.353,0.3,1.0,0.313,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al-Farouq Aminu,POR,26.0,1.5,3.0,0.5,0.1,0.5,0.25,0.0,0.2,0.273,0.1,0.3,0.4,1.0,2.8,0.349,0.2,0.9,0.288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alan Anderson,LAC,34.0,0.4,0.6,0.706,0.0,0.1,0.25,0.0,0.2,0.2,0.0,0.2,0.167,0.4,1.0,0.379,0.1,0.6,0.211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alan Williams,PHX,24.0,2.2,3.7,0.588,0.7,1.8,0.403,0.3,0.6,0.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alec Burks,UTA,25.0,0.8,2.0,0.402,0.4,0.8,0.5,0.3,0.6,0.5,0.2,0.7,0.269,0.6,1.4,0.424,0.1,0.6,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Abrines,OKC,23.0,0.3,0.7,0.489,0.1,0.1,0.4,0.0,0.2,0.273,0.1,0.2,0.385,0.8,2.3,0.349,0.7,1.6,0.433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Alex Len,PHX,24.0,2.2,3.7,0.597,0.3,0.8,0.407,0.1,0.4,0.286,0.3,0.9,0.31,0.1,0.2,0.308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Poythress,PHI,23.0,2.7,4.7,0.571,0.3,0.5,0.667,0.2,0.5,0.333,0.0,0.2,0.0,0.7,1.8,0.364,0.3,1.3,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
