PLAYER_NAME,TEAM_ABBREVIATION,AGE,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT
Aaron Brooks,CHI,31.0,0.9,2.0,0.459,0.4,0.9,0.429,0.3,0.6,0.425,0.2,0.6,0.359,0.4,1.0,0.371,0.6,1.7,0.363,0.1,0.1,1.0,0.0,0.2,0.0,0.0,0.1,0.0
Aaron Gordon,ORL,20.0,2.3,3.6,0.638,0.2,0.6,0.341,0.2,0.5,0.389,0.3,0.9,0.328,0.4,1.3,0.337,0.2,0.6,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Aaron Harrison,CHA,21.0,0.1,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.3,0.167,0.1,0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adreian Payne,MIN,25.0,0.4,0.8,0.488,0.2,0.5,0.348,0.0,0.2,0.222,0.1,0.5,0.25,0.3,0.8,0.39,0.0,0.2,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Horford,ATL,30.0,3.1,4.2,0.723,0.5,1.3,0.345,0.3,0.8,0.349,1.3,2.8,0.47,1.1,2.7,0.391,0.3,0.9,0.301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Jefferson,CHA,31.0,2.1,3.6,0.599,1.2,3.0,0.408,0.9,2.2,0.385,1.0,1.9,0.505,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al-Farouq Aminu,POR,25.0,1.4,2.7,0.525,0.2,0.5,0.378,0.1,0.3,0.346,0.2,0.5,0.422,1.4,3.6,0.377,0.3,1.0,0.316,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
Alan Anderson,WAS,33.0,0.5,0.8,0.545,0.0,0.2,0.0,0.2,0.5,0.333,0.1,0.2,0.5,0.5,1.3,0.353,0.5,1.5,0.333,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0
Alan Williams,PHX,23.0,0.8,2.0,0.4,0.3,0.4,0.667,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alec Burks,UTA,24.0,1.9,3.8,0.508,0.4,1.0,0.355,0.4,1.2,0.333,0.6,1.6,0.373,0.8,2.5,0.321,0.3,0.6,0.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Alex Len,PHX,23.0,2.2,4.2,0.52,0.3,1.1,0.295,0.2,0.6,0.306,0.6,1.8,0.336,0.1,0.2,0.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Stepheson,MEM,28.0,1.1,2.7,0.421,0.0,0.6,0.0,0.1,0.4,0.333,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Alexis Ajinca,NOP,28.0,1.2,1.9,0.618,0.4,1.1,0.333,0.2,0.4,0.36,0.8,1.8,0.476,0.1,0.3,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allen Crabbe,POR,24.0,0.9,1.3,0.663,0.1,0.4,0.344,0.3,0.6,0.521,0.7,1.7,0.417,1.5,3.5,0.438,0.3,0.9,0.348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alonzo Gee,NOP,29.0,1.4,2.1,0.673,0.0,0.1,0.222,0.0,0.1,0.2,0.1,0.2,0.286,0.3,0.9,0.284,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
