PLAYER_NAME,TEAM_ABBREVIATION,AGE,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT
Aaron Brooks,MIN,33.0,0.3,0.6,0.467,0.1,0.3,0.25,0.3,0.5,0.556,0.1,0.2,0.75,0.2,0.4,0.545,0.2,0.7,0.263,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Aaron Gordon,ORL,22.0,3.2,4.9,0.667,0.2,0.9,0.2,0.4,1.2,0.357,0.5,1.8,0.298,0.7,2.1,0.353,1.4,4.1,0.335,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Harrison,DAL,23.0,0.6,1.0,0.556,0.1,0.2,0.5,0.1,0.4,0.25,0.3,1.1,0.3,0.4,2.6,0.174,0.6,2.3,0.238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Jackson,HOU,32.0,1.0,4.0,0.25,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdel Nader,BOS,24.0,0.4,1.1,0.404,0.1,0.5,0.2,0.0,0.1,0.2,0.0,0.1,0.0,0.3,0.7,0.387,0.3,0.8,0.324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adreian Payne,ORL,27.0,0.4,0.4,1.0,0.3,0.3,1.0,0.0,0.0,0.0,0.3,0.5,0.5,1.0,1.3,0.75,0.0,0.3,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Al Horford,BOS,32.0,1.9,2.9,0.675,0.8,1.9,0.407,0.5,1.4,0.373,0.4,0.9,0.492,0.5,1.2,0.395,1.0,2.2,0.441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Jefferson,IND,33.0,1.3,2.0,0.616,0.7,1.4,0.51,0.7,1.1,0.632,0.5,1.2,0.39,0.0,0.2,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al-Farouq Aminu,POR,27.0,1.2,2.1,0.589,0.2,0.7,0.245,0.0,0.2,0.167,0.0,0.4,0.111,1.0,2.5,0.413,0.8,2.6,0.318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alan Williams,PHX,25.0,0.8,1.4,0.571,0.6,1.6,0.375,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alec Burks,UTA,26.0,1.2,2.1,0.568,0.2,0.8,0.292,0.2,0.7,0.341,0.2,0.6,0.389,0.4,1.2,0.378,0.4,1.2,0.303,0.0,0.1,0.333,0.0,0.0,0.0,0.0,0.0,0.0
Alec Peters,PHX,23.0,0.4,0.6,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.5,0.4,1.3,0.28,0.6,1.6,0.344,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Abrines,OKC,24.0,0.3,0.6,0.548,0.0,0.1,0.286,0.1,0.1,0.625,0.0,0.1,0.0,0.5,1.5,0.368,0.6,1.6,0.393,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0
Alex Caruso,LAL,24.0,0.8,1.1,0.707,0.1,0.3,0.3,0.1,0.4,0.231,0.1,0.2,0.25,0.1,0.4,0.286,0.3,0.8,0.321,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Len,PHX,25.0,2.8,4.7,0.604,0.1,0.3,0.368,0.1,0.3,0.5,0.0,0.2,0.182,0.0,0.1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Poythress,IND,24.0,0.3,0.5,0.583,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.2,0.5,0.1,0.3,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alfonzo McKinnie,TOR,25.0,0.1,0.1,1.0,0.2,0.3,0.667,0.0,0.0,0.0,0.2,0.2,1.0,0.2,0.5,0.4,0.1,0.4,0.25,,,,,,,0.0,0.0,0.0
Allen Crabbe,BKN,26.0,0.9,1.2,0.699,0.3,0.7,0.4,0.2,0.6,0.333,0.3,0.7,0.423,1.1,3.2,0.354,1.7,4.4,0.381,0.0,0.1,0.286,0.0,0.0,0.0,0.0,0.1,0.0
Amir Johnson,PHI,31.0,1.3,2.1,0.641,0.4,0.8,0.466,0.0,0.1,0.2,0.0,0.1,0.5,0.1,0.2,0.333,0.1,0.3,0.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andre Drummond,DET,24.0,5.3,8.6,0.609,0.5,1.9,0.288,0.2,0.6,0.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Andre Iguodala,GSW,34.0,1.3,1.8,0.746,0.1,0.3,0.227,0.1,0.3,0.4,0.2,0.6,0.35,0.2,0.7,0.279,0.4,1.2,0.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Andre Ingram,LAL,32.0,0.0,0.5,0.0,0.0,0.5,0.0,1.5,2.0,0.75,0.0,1.0,0.0,0.5,0.5,1.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andre Roberson,OKC,26.0,2.0,3.2,0.637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.7,0.192,0.1,0.2,0.375,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Bogut,LAL,33.0,0.6,0.8,0.778,0.1,0.2,0.5,0.0,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
